상품번호,이름,연식,주행거리,차량번호,지역,현재가격,원래가격,할인금액,최초등록,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,변속기,압류,저당,내차피해,소유자 변경,옵션정보,배터리 용량(kWh),축전지 정격전압/용량(v/Ah),최고출력(kW),최대토크(Nm),복합(km/kWh),도심(km/kWh),고속도로(km/kWh)
GJK240627007167,2023 GV70 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅰ,2022년,"28,988km",303누7499,용인,"4,840
만원","5,140
만원","300
만원 할인",2022.06.21,가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,AWD,자동,없음,없음,3건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240620006906,2024 G80 가솔린 2.5 터보 AWD 스포츠 디자인 셀렉션,2023년,"12,960km",104오3872,용인,"5,880
만원","6,130
만원","250
만원 할인",2023.07.03,가솔린,"2,497cc",비크 블랙,바닐라 베이지 카본,승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240906008810,2021 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2020년,"77,458km",167부3579,용인,"3,800
만원","4,000
만원","200
만원 할인",2020.06.17,가솔린,"2,497cc",핀도스 그린,바닐라 베이지(유칼립투스),승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG240814008259,2023 그랜저(IG) 하이브리드 르블랑,2022년,"47,819km",366보4326,양산,"3,530
만원","3,630
만원","100
만원 할인",2022.08.03,하이브리드,"2,359cc",세레니티 화이트 펄,블랙/베이지(베이지시트),승용,5인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK240927009126,2023 GV70 가솔린 2.5 터보 AWD 스탠다드 디자인,2022년,"26,818km",112보9459,양산,"4,890
만원","4,990
만원","100
만원 할인",2022.08.23,가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HCN240905008744,2021 아반떼(CN7) 가솔린 1.6 모던,2021년,"58,156km",287라2826,용인,"1,790
만원",,,2021.01.12,가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,자동 (IVT),없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선 시트 (1열)': '포함', '통풍 시트 (운전석)': '포함', '전동 시트 (운전석)': '미포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '미포함', '전방 주차거리 경고': '미포함'}",,,,,,,
GJJ240927009085,2022 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2022년,"20,275km",210구2256,용인,"5,750
만원",,,2022.09.01,가솔린,"2,497cc",비크 블랙,듄 베이지(올리브 애쉬),승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HDN240905008745,2021 쏘나타(DN8) 가솔린 2.0 프리미엄,2020년,"89,273km",171노9359,용인,"1,770
만원","1,820
만원","50
만원 할인",2020.07.06,가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '미포함', '전방 주차거리 경고': '미포함'}",,,,,,,
GJJ241129010773,2021 G80 가솔린 2.5 터보 2WD 시그니처 디자인 셀렉션Ⅱ,2021년,"67,912km",345마4927,양산,"3,690
만원",,,2021.04.15,가솔린,"2,497cc",세빌 실버,듄 베이지(올리브 애쉬),승용,5인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK240628007251,2021 GV70 가솔린 2.5 터보 2WD 스탠다드 디자인,2021년,"38,493km",342더6428,양산,"4,180
만원","4,430
만원","250
만원 할인",2021.06.13,가솔린,"2,497cc",우유니 화이트,블랙모노톤,SUV,5인승,2WD,자동,없음,없음,3건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
